[PokaPoka @ 376403ms/29s/15m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 579013ms/30s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 6852ms/32s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 267721ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-718)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 282387ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-718)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 297379ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-716)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 311371ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-712)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 324308ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-706)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 339272ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-698)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 351269ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-688)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 366948ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-676)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 381231ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-662)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 395196ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-646)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 407162ms/35s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-628)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 301604ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(494.0-718)] with expected peak @ (x:494.0, y:100)
[PokaPoka @ 316155ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(497.0-718)] with expected peak @ (x:497.0, y:100)
[PokaPoka @ 330232ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-716)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 343277ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-712)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 356172ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-706)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 370126ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-698)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 384622ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-688)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 398132ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-676)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 412625ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-662)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 425594ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-646)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 439553ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-628)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 452517ms/37s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-608)] with expected peak @ (x:506.0, y:100)
