[PokaPoka @ 418112ms/27s/10m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 990906ms/27s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 455874ms/30s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 260865ms/32s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 108432ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-718)] with expected peak @ (x:540, y:100)
[PokaPoka @ 121399ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-718)] with expected peak @ (x:540, y:100)
[PokaPoka @ 134359ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-716)] with expected peak @ (x:540, y:100)
[PokaPoka @ 147323ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-712)] with expected peak @ (x:540, y:100)
[PokaPoka @ 162378ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-706)] with expected peak @ (x:540, y:100)
[PokaPoka @ 178019ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-698)] with expected peak @ (x:540, y:100)
[PokaPoka @ 192381ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-688)] with expected peak @ (x:540, y:100)
[PokaPoka @ 205319ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-676)] with expected peak @ (x:540, y:100)
[PokaPoka @ 219282ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-662)] with expected peak @ (x:540, y:100)
[PokaPoka @ 232246ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-646)] with expected peak @ (x:540, y:100)
[PokaPoka @ 246400ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-628)] with expected peak @ (x:540, y:100)
[PokaPoka @ 651927ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-718)] with expected peak @ (x:540, y:100)
[PokaPoka @ 665914ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-718)] with expected peak @ (x:540, y:100)
[PokaPoka @ 679873ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-716)] with expected peak @ (x:540, y:100)
[PokaPoka @ 694831ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-712)] with expected peak @ (x:540, y:100)
[PokaPoka @ 709763ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-706)] with expected peak @ (x:540, y:100)
[PokaPoka @ 722728ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-698)] with expected peak @ (x:540, y:100)
[PokaPoka @ 735694ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-688)] with expected peak @ (x:540, y:100)
[PokaPoka @ 748661ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-676)] with expected peak @ (x:540, y:100)
[PokaPoka @ 767219ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-662)] with expected peak @ (x:540, y:100)
[PokaPoka @ 781177ms/34s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540-646)] with expected peak @ (x:540, y:100)
