[PokaPoka @ 769871ms/37s/58m/10h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 699840ms/39s/58m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 688962ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-718)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 700929ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-718)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 715923ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-716)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 730874ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-712)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 745370ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-706)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 758334ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-698)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 772294ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-688)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 785257ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-676)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 800218ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-662)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 815758ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-646)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 829992ms/41s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-628)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 952745ms/42s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-672)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 967445ms/42s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(653.0-672)] with expected peak @ (x:653.0, y:100)
