[PokaPoka @ 929903ms/56s/44m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 781758ms/58s/44m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 302785ms/1s/45m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 916716ms/3s/45m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(1) --> removed from inventory
[PokaPoka @ 683729ms/5s/45m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(7) --> removed from inventory
[PokaPoka @ 399255ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-578)] with expected peak @ (x:245, y:100)
[PokaPoka @ 450115ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-576)] with expected peak @ (x:245, y:100)
[PokaPoka @ 505674ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-572)] with expected peak @ (x:245, y:100)
[PokaPoka @ 567842ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 626934ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-558)] with expected peak @ (x:245, y:100)
[PokaPoka @ 677717ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 717284ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-536)] with expected peak @ (x:245, y:100)
[PokaPoka @ 756540ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-522)] with expected peak @ (x:245, y:100)
[PokaPoka @ 797971ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-506)] with expected peak @ (x:245, y:100)
[PokaPoka @ 841655ms/6s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-488)] with expected peak @ (x:245, y:100)
[PokaPoka @ 891963ms/7s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-568)] with expected peak @ (x:245, y:100)
[PokaPoka @ 904684ms/7s/45m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(5) --> removed from inventory
[PokaPoka @ 931373ms/7s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 965012ms/7s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-562)] with expected peak @ (x:245, y:100)
[PokaPoka @ 7505ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-556)] with expected peak @ (x:245, y:100)
[PokaPoka @ 46591ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 85487ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-538)] with expected peak @ (x:245, y:100)
[PokaPoka @ 128651ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-526)] with expected peak @ (x:245, y:100)
[PokaPoka @ 167964ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-512)] with expected peak @ (x:245, y:100)
[PokaPoka @ 207139ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-496)] with expected peak @ (x:245, y:100)
[PokaPoka @ 247668ms/8s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-478)] with expected peak @ (x:245, y:100)
[PokaPoka @ 400672ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-568)] with expected peak @ (x:245, y:100)
[PokaPoka @ 438930ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-566)] with expected peak @ (x:245, y:100)
[PokaPoka @ 478991ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-562)] with expected peak @ (x:245, y:100)
[PokaPoka @ 512643ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-556)] with expected peak @ (x:245, y:100)
[PokaPoka @ 550654ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-548)] with expected peak @ (x:245, y:100)
[PokaPoka @ 589548ms/9s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-538)] with expected peak @ (x:245, y:100)
