[PokaPoka @ 47491ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 1
[PokaPoka @ 48488ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 1
[PokaPoka @ 49492ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 2
[PokaPoka @ 51482ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 2
[PokaPoka @ 52483ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 3
[PokaPoka @ 53477ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 3
[PokaPoka @ 53477ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 4
[PokaPoka @ 53477ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 4
[PokaPoka @ 54476ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 5
[PokaPoka @ 54476ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 5
[PokaPoka @ 54476ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 6
[PokaPoka @ 54476ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 6
[PokaPoka @ 55477ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 7
[PokaPoka @ 55477ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 7
[PokaPoka @ 55477ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 8
[PokaPoka @ 55477ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 8
[PokaPoka @ 56468ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 9
[PokaPoka @ 56468ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 9
[PokaPoka @ 56468ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 10
[PokaPoka @ 57464ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 10
[PokaPoka @ 57464ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 11
[PokaPoka @ 57464ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 11
[PokaPoka @ 58467ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 12
[PokaPoka @ 58467ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 12
[PokaPoka @ 58467ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 13
[PokaPoka @ 58467ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 13
[PokaPoka @ 59468ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 14
[PokaPoka @ 59468ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 14
[PokaPoka @ 59468ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 15
[PokaPoka @ 59468ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 15
[PokaPoka @ 60457ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 16
[PokaPoka @ 60457ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 16
[PokaPoka @ 60457ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 17
[PokaPoka @ 60457ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 17
[PokaPoka @ 61466ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 18
[PokaPoka @ 61466ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 18
[PokaPoka @ 61466ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 19
[PokaPoka @ 61466ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 19
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 20
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 20
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 21
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 21
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 22
[PokaPoka @ 62458ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 22
[PokaPoka @ 63454ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 23
[PokaPoka @ 63454ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 23
[PokaPoka @ 63454ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 24
[PokaPoka @ 63454ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 24
[PokaPoka @ 64447ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 25
[PokaPoka @ 64447ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 25
[PokaPoka @ 64447ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 26
