[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 51694ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(688-679)] with expected peak @ (x:688, y:100)
[PokaPoka @ 68376ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(691-679)] with expected peak @ (x:691, y:100)
[PokaPoka @ 86606ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(694-677)] with expected peak @ (x:694, y:100)
[PokaPoka @ 102141ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(697-673)] with expected peak @ (x:697, y:100)
[PokaPoka @ 119030ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(700-667)] with expected peak @ (x:700, y:100)
[PokaPoka @ 132707ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(703-659)] with expected peak @ (x:703, y:100)
[PokaPoka @ 148639ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(706-649)] with expected peak @ (x:706, y:100)
[PokaPoka @ 167956ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(709-637)] with expected peak @ (x:709, y:100)
[PokaPoka @ 183917ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(712-623)] with expected peak @ (x:712, y:100)
[PokaPoka @ 200867ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(715-607)] with expected peak @ (x:715, y:100)
[PokaPoka @ 217665ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(718-589)] with expected peak @ (x:718, y:100)
[PokaPoka @ 592532ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(787-669)] with expected peak @ (x:787, y:100)
[PokaPoka @ 609186ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(790-669)] with expected peak @ (x:790, y:100)
[PokaPoka @ 624703ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(793-667)] with expected peak @ (x:793, y:100)
[PokaPoka @ 641211ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(796-663)] with expected peak @ (x:796, y:100)
[PokaPoka @ 657215ms/6s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(799-657)] with expected peak @ (x:799, y:100)
