[PokaPoka @ 151721ms/37s/49m/10h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 893234ms/37s/49m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 881054ms/38s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-733)] with expected peak @ (x:965, y:100)
[PokaPoka @ 896021ms/38s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-687)] with expected peak @ (x:965, y:100)
[PokaPoka @ 908008ms/38s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-639)] with expected peak @ (x:965, y:100)
[PokaPoka @ 280072ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-721)] with expected peak @ (x:965, y:100)
[PokaPoka @ 293029ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-697)] with expected peak @ (x:965, y:100)
[PokaPoka @ 308488ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-671)] with expected peak @ (x:965, y:100)
[PokaPoka @ 323098ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-643)] with expected peak @ (x:965, y:100)
[PokaPoka @ 668686ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-723)] with expected peak @ (x:965, y:100)
[PokaPoka @ 681656ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-701)] with expected peak @ (x:965, y:100)
[PokaPoka @ 696615ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-677)] with expected peak @ (x:965, y:100)
[PokaPoka @ 710606ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-651)] with expected peak @ (x:965, y:100)
[PokaPoka @ 725534ms/39s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-623)] with expected peak @ (x:965, y:100)
[PokaPoka @ 103331ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-725)] with expected peak @ (x:965, y:100)
[PokaPoka @ 116298ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-701)] with expected peak @ (x:965, y:100)
[PokaPoka @ 129270ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-675)] with expected peak @ (x:965, y:100)
[PokaPoka @ 143225ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-647)] with expected peak @ (x:965, y:100)
[PokaPoka @ 492743ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-727)] with expected peak @ (x:965, y:100)
[PokaPoka @ 507733ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-705)] with expected peak @ (x:965, y:100)
[PokaPoka @ 522664ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-681)] with expected peak @ (x:965, y:100)
[PokaPoka @ 536465ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-655)] with expected peak @ (x:965, y:100)
[PokaPoka @ 549434ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-627)] with expected peak @ (x:965, y:100)
[PokaPoka @ 913316ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-718)] with expected peak @ (x:965, y:100)
[PokaPoka @ 927273ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-696)] with expected peak @ (x:965, y:100)
[PokaPoka @ 941234ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-672)] with expected peak @ (x:965, y:100)
[PokaPoka @ 955199ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-646)] with expected peak @ (x:965, y:100)
[PokaPoka @ 969064ms/40s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-618)] with expected peak @ (x:965, y:100)
[PokaPoka @ 347750ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-720)] with expected peak @ (x:965, y:100)
[PokaPoka @ 360712ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-696)] with expected peak @ (x:965, y:100)
[PokaPoka @ 375677ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-670)] with expected peak @ (x:965, y:100)
[PokaPoka @ 390975ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-642)] with expected peak @ (x:965, y:100)
[PokaPoka @ 741247ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-722)] with expected peak @ (x:965, y:100)
[PokaPoka @ 756207ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-700)] with expected peak @ (x:965, y:100)
[PokaPoka @ 770842ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-676)] with expected peak @ (x:965, y:100)
[PokaPoka @ 783816ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-650)] with expected peak @ (x:965, y:100)
[PokaPoka @ 796744ms/41s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-622)] with expected peak @ (x:965, y:100)
[PokaPoka @ 172235ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-724)] with expected peak @ (x:965, y:100)
[PokaPoka @ 173239ms/42s/49m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 188163ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-700)] with expected peak @ (x:965, y:100)
[PokaPoka @ 201129ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-674)] with expected peak @ (x:965, y:100)
[PokaPoka @ 214095ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-646)] with expected peak @ (x:965, y:100)
[PokaPoka @ 566296ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-726)] with expected peak @ (x:965, y:100)
[PokaPoka @ 579302ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-704)] with expected peak @ (x:965, y:100)
[PokaPoka @ 592250ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-680)] with expected peak @ (x:965, y:100)
[PokaPoka @ 607216ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-654)] with expected peak @ (x:965, y:100)
[PokaPoka @ 621755ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-626)] with expected peak @ (x:965, y:100)
[PokaPoka @ 994299ms/42s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-728)] with expected peak @ (x:965, y:100)
[PokaPoka @ 8748ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-704)] with expected peak @ (x:965, y:100)
[PokaPoka @ 21972ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-678)] with expected peak @ (x:965, y:100)
[PokaPoka @ 37928ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-650)] with expected peak @ (x:965, y:100)
[PokaPoka @ 216826ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-728)] with expected peak @ (x:679, y:100)
[PokaPoka @ 231786ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-678)] with expected peak @ (x:679, y:100)
[PokaPoka @ 370809ms/43s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-720)] with expected peak @ (x:965, y:100)
