[PokaPoka @ 241711ms/1s/58m/22h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 735964ms/6s/58m/22h, 27d/6mo/2021y] --> Toggled hitboxes --> True
[PokaPoka @ 170840ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(297.0-668)] with expected peak @ (x:297.0, y:100)
[PokaPoka @ 191749ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(294.0-668)] with expected peak @ (x:294.0, y:100)
[PokaPoka @ 219677ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(291.0-666)] with expected peak @ (x:291.0, y:100)
[PokaPoka @ 240619ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(288.0-662)] with expected peak @ (x:288.0, y:100)
[PokaPoka @ 264556ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(285.0-656)] with expected peak @ (x:285.0, y:100)
[PokaPoka @ 286525ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(282.0-648)] with expected peak @ (x:282.0, y:100)
[PokaPoka @ 308437ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(279.0-638)] with expected peak @ (x:279.0, y:100)
[PokaPoka @ 334398ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(276.0-626)] with expected peak @ (x:276.0, y:100)
[PokaPoka @ 355342ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(273.0-612)] with expected peak @ (x:273.0, y:100)
[PokaPoka @ 376286ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(270.0-596)] with expected peak @ (x:270.0, y:100)
[PokaPoka @ 401224ms/8s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(267.0-578)] with expected peak @ (x:267.0, y:100)
[PokaPoka @ 106483ms/14s/58m/22h, 27d/6mo/2021y] --> Toggled hitboxes --> False
[PokaPoka @ 190665ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(606.0-668)] with expected peak @ (x:606.0, y:100)
[PokaPoka @ 205164ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(609.0-668)] with expected peak @ (x:609.0, y:100)
[PokaPoka @ 224368ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(612.0-666)] with expected peak @ (x:612.0, y:100)
[PokaPoka @ 241321ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(615.0-662)] with expected peak @ (x:615.0, y:100)
[PokaPoka @ 255284ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(618.0-656)] with expected peak @ (x:618.0, y:100)
[PokaPoka @ 274162ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(621.0-648)] with expected peak @ (x:621.0, y:100)
[PokaPoka @ 292075ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(624.0-638)] with expected peak @ (x:624.0, y:100)
[PokaPoka @ 305075ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-626)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 324681ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-612)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 336648ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-596)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 355671ms/15s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-578)] with expected peak @ (x:636.0, y:100)
