[PokaPoka @ 367876ms/47s/15m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 493895ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-654)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 510745ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-649)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 527594ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-642)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 543781ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-633)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 560872ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-622)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 582029ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-609)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 599798ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-594)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 615467ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-577)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 631618ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-558)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 648914ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-537)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 664937ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-514)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 681701ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-489)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 696701ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-462)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 714507ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-433)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 732886ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-402)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 765686ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-369)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 804138ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-334)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 837008ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-297)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 864688ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-258)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 884310ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-217)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 904252ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-174)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 924346ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-129)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 944220ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-82)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 960169ms/47s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-33)] with expected peak @ (x:600.0, y:100)
