[PokaPoka @ 352381ms/27s/43m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 266183ms/28s/43m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 351079ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-718)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 366948ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-718)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 383499ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-716)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 401346ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-712)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 417354ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-706)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 434742ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-698)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 451142ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-688)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 468136ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-676)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 484342ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-662)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 502286ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-646)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 518536ms/29s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-628)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 501279ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(791.0-718)] with expected peak @ (x:791.0, y:100)
[PokaPoka @ 520225ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-718)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 536506ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(797.0-716)] with expected peak @ (x:797.0, y:100)
[PokaPoka @ 552474ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(800.0-712)] with expected peak @ (x:800.0, y:100)
[PokaPoka @ 569116ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(803.0-706)] with expected peak @ (x:803.0, y:100)
[PokaPoka @ 584700ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(806.0-698)] with expected peak @ (x:806.0, y:100)
[PokaPoka @ 602658ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(809.0-688)] with expected peak @ (x:809.0, y:100)
[PokaPoka @ 617628ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-676)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 634570ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-662)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 650661ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(818.0-646)] with expected peak @ (x:818.0, y:100)
[PokaPoka @ 667177ms/30s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(821.0-628)] with expected peak @ (x:821.0, y:100)
[PokaPoka @ 75726ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(893.0-718)] with expected peak @ (x:893.0, y:100)
[PokaPoka @ 93412ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(896.0-718)] with expected peak @ (x:896.0, y:100)
[PokaPoka @ 116346ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(899.0-716)] with expected peak @ (x:899.0, y:100)
[PokaPoka @ 133304ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(902.0-712)] with expected peak @ (x:902.0, y:100)
[PokaPoka @ 149255ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(905.0-706)] with expected peak @ (x:905.0, y:100)
[PokaPoka @ 166936ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(908.0-698)] with expected peak @ (x:908.0, y:100)
[PokaPoka @ 182992ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(911.0-688)] with expected peak @ (x:911.0, y:100)
[PokaPoka @ 197743ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(914.0-676)] with expected peak @ (x:914.0, y:100)
[PokaPoka @ 214311ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(917.0-662)] with expected peak @ (x:917.0, y:100)
[PokaPoka @ 231004ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(920.0-646)] with expected peak @ (x:920.0, y:100)
[PokaPoka @ 247172ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(923.0-628)] with expected peak @ (x:923.0, y:100)
[PokaPoka @ 650798ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(995.0-718)] with expected peak @ (x:995.0, y:100)
[PokaPoka @ 666001ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(998.0-718)] with expected peak @ (x:998.0, y:100)
[PokaPoka @ 682328ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1001.0-716)] with expected peak @ (x:1001.0, y:100)
[PokaPoka @ 701270ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1004.0-712)] with expected peak @ (x:1004.0, y:100)
[PokaPoka @ 716263ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1007.0-706)] with expected peak @ (x:1007.0, y:100)
[PokaPoka @ 735254ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1010.0-698)] with expected peak @ (x:1010.0, y:100)
[PokaPoka @ 751290ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1013.0-688)] with expected peak @ (x:1013.0, y:100)
[PokaPoka @ 768156ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1016.0-676)] with expected peak @ (x:1016.0, y:100)
[PokaPoka @ 786787ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1019.0-662)] with expected peak @ (x:1019.0, y:100)
[PokaPoka @ 801709ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1022.0-646)] with expected peak @ (x:1022.0, y:100)
[PokaPoka @ 818910ms/31s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1025.0-628)] with expected peak @ (x:1025.0, y:100)
[PokaPoka @ 233035ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1097.0-718)] with expected peak @ (x:1097.0, y:100)
[PokaPoka @ 250017ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1100.0-718)] with expected peak @ (x:1100.0, y:100)
[PokaPoka @ 266126ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1103.0-716)] with expected peak @ (x:1103.0, y:100)
[PokaPoka @ 283028ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1106.0-712)] with expected peak @ (x:1106.0, y:100)
[PokaPoka @ 300013ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1109.0-706)] with expected peak @ (x:1109.0, y:100)
[PokaPoka @ 314992ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1112.0-698)] with expected peak @ (x:1112.0, y:100)
[PokaPoka @ 332442ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1115.0-688)] with expected peak @ (x:1115.0, y:100)
[PokaPoka @ 349347ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1118.0-676)] with expected peak @ (x:1118.0, y:100)
[PokaPoka @ 364341ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1121.0-662)] with expected peak @ (x:1121.0, y:100)
[PokaPoka @ 382034ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1121.0-646)] with expected peak @ (x:1121.0, y:100)
[PokaPoka @ 398979ms/32s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(1121.0-628)] with expected peak @ (x:1121.0, y:100)
[PokaPoka @ 751674ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(824.0-718)] with expected peak @ (x:824.0, y:100)
[PokaPoka @ 768611ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(821.0-718)] with expected peak @ (x:821.0, y:100)
[PokaPoka @ 784946ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(818.0-716)] with expected peak @ (x:818.0, y:100)
[PokaPoka @ 802194ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-712)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 818149ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-706)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 833457ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(809.0-698)] with expected peak @ (x:809.0, y:100)
[PokaPoka @ 850224ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(806.0-688)] with expected peak @ (x:806.0, y:100)
[PokaPoka @ 866829ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(803.0-676)] with expected peak @ (x:803.0, y:100)
[PokaPoka @ 883415ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(800.0-662)] with expected peak @ (x:800.0, y:100)
[PokaPoka @ 900587ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(797.0-646)] with expected peak @ (x:797.0, y:100)
[PokaPoka @ 915885ms/34s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(794.0-628)] with expected peak @ (x:794.0, y:100)
[PokaPoka @ 894441ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-718)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 910500ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-718)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 927638ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-716)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 944592ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-712)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 961548ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-706)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 978503ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-698)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 997420ms/35s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-688)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 11372ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-676)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 29060ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-662)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 46015ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-646)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 62410ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-628)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 475560ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-718)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 492399ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-718)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 510350ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-716)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 526554ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-712)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 542526ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-706)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 558972ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-698)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 574981ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-688)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 590956ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-676)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 607222ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-662)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 624179ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-646)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 642163ms/36s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-628)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 41204ms/37s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-718)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 57526ms/37s/43m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-718)] with expected peak @ (x:617.0, y:100)
